episode,score,average score,best score
328,2.7,164.1,316.5
329,2.7,164.1,316.5
330,577.2,169.8,316.5
331,0.9,169.8,316.5
332,3.5,169.9,316.5
333,2.7,169.9,316.5
334,2.7,169.9,316.5
335,1701.7,186.9,316.5
336,0.9,186.8,316.5
337,0.9,186.8,316.5
338,3.5,159.0,316.5
339,2.7,159.0,316.5
340,3.5,159.0,316.5
341,2.7,159.0,316.5
342,3.5,159.1,316.5
343,1336.8,170.1,316.5
344,0.9,170.1,316.5
345,2.7,170.1,316.5
346,3.5,170.1,316.5
347,1211.0,182.2,316.5
348,3.5,182.2,316.5
349,2.7,182.2,316.5
350,3.5,182.2,316.5
351,3.5,181.9,316.5
352,808.7,190.0,316.5
353,176.2,191.7,316.5
354,3.5,186.2,316.5
355,0.9,184.5,316.5
356,3.5,184.5,316.5
357,0.9,184.5,316.5
358,123.1,185.7,316.5
359,0.9,185.7,316.5
360,255.7,188.2,316.5
361,225.6,190.4,316.5
362,63.2,191.0,316.5
363,2.7,191.1,316.5
364,2.7,187.6,316.5
365,0.9,184.3,316.5
366,2.7,184.3,316.5
367,0.9,184.3,316.5
368,1727.7,200.6,316.5
369,70.7,183.1,316.5
370,2904.1,212.2,316.5
371,3.5,183.1,316.5
372,0.9,183.1,316.5
373,2.7,169.6,316.5
374,780.3,176.5,316.5
375,3.5,174.1,316.5
376,2450.1,198.6,316.5
377,3.5,198.6,316.5
378,356.0,198.2,316.5
379,2.7,198.2,316.5
380,0.9,198.2,316.5
381,69.9,198.8,316.5
382,0.9,198.8,316.5
383,2.7,192.1,316.5
384,2.7,192.1,316.5
385,3.5,192.1,316.5
386,2.7,192.1,316.5
387,2.7,188.6,316.5
388,83.1,189.4,316.5
389,3.5,189.4,316.5
390,0.9,189.4,316.5
391,0.9,189.4,316.5
392,427.9,193.6,316.5
393,0.9,193.6,316.5
394,2.7,193.6,316.5
395,0.9,193.6,316.5
396,0.9,190.4,316.5
397,3.5,188.7,316.5
398,91.9,189.6,316.5
399,0.9,189.5,316.5
400,2.7,189.5,316.5
401,3.5,189.6,316.5
402,633.8,195.9,316.5
403,215.3,198.0,316.5
404,443.2,202.4,316.5
405,0.9,189.7,316.5
406,2.7,189.8,316.5
407,0.9,189.8,316.5
408,355.0,193.3,316.5
409,3.5,193.3,316.5
410,2.7,193.3,316.5
411,2.7,193.3,316.5
412,0.9,193.3,316.5
413,2.7,193.3,316.5
414,3.5,193.3,316.5
415,3.5,193.3,316.5
416,2.7,193.3,316.5
417,0.9,193.3,316.5
418,2.7,193.3,316.5
419,1046.7,189.1,316.5
420,2.5,189.1,316.5
421,2.5,189.1,316.5
422,90.6,188.7,316.5
423,397.6,192.7,316.5
424,81.0,193.5,316.5
425,158.0,190.3,316.5
426,2.5,190.3,316.5
427,197.1,192.2,316.5
428,2302.4,215.2,316.5
429,3.5,215.2,316.5
430,2.7,209.5,316.5
431,2.7,209.5,316.5
432,2.7,209.5,316.5
433,1048.7,220.0,316.5
434,2.7,220.0,316.5
435,109.6,204.0,316.5
436,0.9,204.0,316.5
437,2.7,204.1,316.5
438,2.7,204.0,316.5
439,3.5,204.1,316.5
440,636.5,210.4,316.5
441,0.9,210.4,316.5
442,0.9,210.3,316.5
443,0.9,197.0,316.5
444,2.7,197.0,316.5
445,333.7,200.3,316.5
446,966.9,209.9,316.5
447,819.6,206.0,316.5
448,3.5,206.0,316.5
449,265.9,208.7,316.5
450,2.7,208.7,316.5
451,0.9,208.6,316.5
452,3.5,200.6,316.5
453,0.9,198.8,316.5
454,3.5,198.8,316.5
455,0.9,198.8,316.5
456,0.9,198.8,316.5
457,3.5,198.8,316.5
458,2.7,197.6,316.5
459,0.9,197.6,316.5
460,2.7,195.1,316.5
461,2.7,192.9,316.5
462,3.5,192.3,316.5
463,439.2,196.6,316.5
464,3.5,196.6,316.5
465,2.7,196.7,316.5
466,0.9,196.6,316.5
467,2.7,196.7,316.5
468,0.9,179.4,316.5
469,2.7,178.7,316.5
470,2.7,149.7,316.5
471,0.9,149.7,316.5
472,3.5,149.7,316.5
473,2.7,149.7,316.5
474,156.6,143.5,316.5
475,0.9,143.4,316.5
476,3.5,119.0,316.5
477,1663.6,135.6,316.5
478,3.5,132.0,316.5
479,3.5,132.0,316.5
480,2.7,132.1,316.5
481,3.5,131.4,316.5
482,2.7,131.4,316.5
483,3.5,131.4,316.5
484,2.7,131.4,316.5
485,1224.2,143.6,316.5
486,3.5,143.6,316.5
487,0.9,143.6,316.5
488,3.5,142.8,316.5
489,3.5,142.8,316.5
