episode,score,average score,best score,epsilon,steps
381,40.02430266,41.43638807,68.36130096,0.979106,20925
382,19.86645776,41.43130557,68.36130096,0.979082,20949
383,29.43568916,41.6107377,68.36130096,0.979045,20986
384,21.81792037,41.50462312,68.36130096,0.979018,21013
385,50.65798702,41.66294991,68.36130096,0.978955,21076
386,45.63305665,41.86928087,68.36130096,0.9789,21131
387,12.83097679,41.85634755,68.36130096,0.978884,21147
388,16.09255283,41.76432177,68.36130096,0.978864,21167
389,33.32588978,41.79342188,68.36130096,0.978825,21206
390,38.55089168,41.98427103,68.36130096,0.978777,21254
391,12.67668387,41.7148795,68.36130096,0.978761,21270
392,25.73287187,41.80823766,68.36130096,0.97873,21301
393,92.91674275,42.49534891,68.36130096,0.978618,21413
394,19.65728557,42.46082587,68.36130096,0.978593,21438
395,47.76646745,42.78274536,68.36130096,0.978536,21495
396,60.63938425,41.50854926,68.36130096,0.978464,21567
397,13.49511164,41.04902698,68.36130096,0.978447,21584
398,26.4158833,41.13805364,68.36130096,0.978415,21616
399,11.4963387,41.17590983,68.36130096,0.9784,21631
400,25.11706698,40.18010354,68.36130096,0.978368,21663
401,18.5922077,40.01995252,68.36130096,0.978345,21686
402,22.9207898,40.04017229,68.36130096,0.978317,21714
403,23.77939167,39.5339012,68.36130096,0.978288,21743
404,52.23618831,39.71293362,68.36130096,0.978224,21807
405,46.01034824,40.04214541,68.36130096,0.978167,21864
406,24.98208477,39.35771076,68.36130096,0.978136,21895
407,46.73472052,38.74172686,68.36130096,0.978079,21952
408,17.78951668,38.64818813,68.36130096,0.978057,21974
409,14.41477419,38.55540676,68.36130096,0.978039,21992
410,90.3111582,38.75460832,68.36130096,0.97793,22101
411,30.3968526,38.34358848,68.36130096,0.977894,22137
412,42.09434821,38.62397511,68.36130096,0.977843,22188
413,37.76906241,38.51292534,68.36130096,0.977797,22234
414,66.6660946,39.03574027,68.36130096,0.977716,22315
415,49.77664401,39.38643129,68.36130096,0.977656,22375
416,36.63731864,39.32097676,68.36130096,0.977611,22420
417,43.77266255,39.67797921,68.36130096,0.977558,22473
418,151.7497183,40.30842537,68.36130096,0.977378,22653
419,39.32387465,40.61758366,68.36130096,0.97733,22701
420,26.43340159,40.74680835,68.36130096,0.977298,22733
421,64.88859055,41.10503124,68.36130096,0.977217,22814
422,7.643182417,41.05195831,68.36130096,0.977207,22824
423,83.49058101,41.70200622,68.36130096,0.977106,22925
424,26.31690362,41.53191344,68.36130096,0.977074,22957
425,26.6045918,41.64186224,68.36130096,0.977041,22990
426,40.75472626,41.85078138,68.36130096,0.976993,23038
427,24.97469241,40.54814865,68.36130096,0.976962,23069
428,20.55506126,40.43346733,68.36130096,0.976935,23096
429,89.70154544,41.15566615,68.36130096,0.976827,23204
430,17.00574687,39.80204082,68.36130096,0.976806,23225
431,16.51486055,39.6837519,68.36130096,0.976786,23245
432,89.31799912,39.93540273,68.36130096,0.976679,23352
433,17.48415727,39.86064468,68.36130096,0.976657,23374
434,21.00795864,39.76936867,68.36130096,0.976631,23400
435,33.84920604,39.65055411,68.36130096,0.976589,23442
436,17.94750247,39.59790105,68.36130096,0.976566,23465
437,37.36644855,39.61020188,68.36130096,0.97652,23511
438,31.99525963,39.8498223,68.36130096,0.97648,23551
439,15.37549809,39.83001061,68.36130096,0.976461,23570
440,6.973779431,39.42118852,68.36130096,0.976452,23579
441,16.60659399,39.09106857,68.36130096,0.976431,23600
442,29.96282212,38.80275089,68.36130096,0.976395,23636
443,8.480707727,38.30864276,68.36130096,0.976384,23647
444,14.6279761,37.85631337,68.36130096,0.976365,23666
445,103.4618348,38.2983878,68.36130096,0.976242,23789
446,103.5828209,38.62740055,68.36130096,0.976115,23916
447,10.6753323,37.80132904,68.36130096,0.976102,23929
448,19.70057328,37.75514865,68.36130096,0.976077,23954
449,20.82529643,37.77173269,68.36130096,0.976051,23980
450,29.65968556,37.90786752,68.36130096,0.976014,24017
451,40.51060903,38.04421947,68.36130096,0.975964,24067
452,39.80440862,38.31544083,68.36130096,0.975915,24116
453,10.10425397,37.98213894,68.36130096,0.975902,24129
454,32.69312218,37.70990973,68.36130096,0.975863,24168
455,32.31109324,37.89808294,68.36130096,0.975823,24208
456,23.32533405,37.81529327,68.36130096,0.975794,24237
457,17.48793969,37.91540929,68.36130096,0.975773,24258
458,40.06882567,37.86020608,68.36130096,0.975725,24306
459,19.78410306,37.95149627,68.36130096,0.975701,24330
460,46.97531839,38.04970838,68.36130096,0.975645,24386
461,30.83071965,38.07566795,68.36130096,0.975607,24424
462,38.03124738,37.84392182,68.36130096,0.975561,24470
463,9.48916912,37.64669095,68.36130096,0.975549,24482
464,29.51247182,37.82922425,68.36130096,0.975513,24518
465,35.32697811,38.00081177,68.36130096,0.97547,24561
466,21.78435614,38.00879089,68.36130096,0.975443,24588
467,48.01900392,37.38409234,68.36130096,0.975382,24649
468,20.13207086,37.45315207,68.36130096,0.975357,24674
469,35.6430054,36.86076732,68.36130096,0.975315,24716
470,9.41557376,36.43342946,68.36130096,0.975303,24728
471,23.22298158,35.76381437,68.36130096,0.975275,24756
472,57.04475455,35.53466534,68.36130096,0.975206,24825
473,40.19002709,35.53583987,68.36130096,0.975157,24874
474,37.9384872,35.80858389,68.36130096,0.975111,24920
475,17.38046082,35.64257286,68.36130096,0.97509,24941
